Anhui New Broadcasting & TV Center,2009,"190,582"
Global Harbor North Tower,2011,"154,000"
Global Harbor South Tower,2011,"154,000"
Ocean Financial Centre,2007,"92,000"
Shin Kong Life Tower,1989,
The Centrale,2016,"23,525"
Palm Tower 1,2006,"130,000"
Palm Tower 2,2006,"130,000"
Moshe Aviv Tower,1998,"96,000"
Chifley Tower,1988,"90,000"
Gramercy Residences,2008,
Arenco Tower,2005,
Yixing Dongjiu Tower,2010,"161,725"
Menara Maybank,,"167,300"
Tokyo Metropolitan Government Building,1988,"196,000"
Soleil,2008,"64,559"
Setia Eco City - Vogue Suite One,2012,
MidValley Tower of Light,2013,
R&F Center,,
Citigroup Centre,1998,
Changjiang Media Tower,2013,
Dalian Futures Square 1,2006,
Dalian Futures Square 2,2006,
The Tower,2000,"46,454"
Soul,2008,"49,465"
Federation Tower - Zapad Tower,2005,
Neo China Top City A1,2005,
Pearl Tower,2007,
Waldorf Astoria + Magnolias Ratchaprasong,2012,
Asia Pacific Tower & Jinling Hotel,2008,"120,000"
Binhu Times Square,2010,
Dalian World Trade Center,1997,"94,866"
CapitaGreen,2012,"79,383"
BNY Mellon Bank Center,,
111 Murray Street,2015,"34,560"
Woolworth Building,1910,"120,773"
IDS Center,1969,"111,483"
World Trade Center Doha,2009,"141,968"
Western International Finance Center Conrad Hotel,2012,
200 Clarendon,1972,"191,380"
Bucheon Kumho Richensia Tower 1,2007,
Bucheon Kumho Richensia Tower 2,2007,
Four Seasons Hotel & Tower,2000,"167,224"
Lee Garden One,1996,"84,665"
Ryomyong Street 70-Storey Building,2016,
Kipco Tower,2005,
Sunshine 60 Tower,1973,"241,546"
Jin Wan Plaza 2,2011,
Banyan Tree Signatures,2012,
Sandy Federal Tower,2012,
Suzhou RunHua Global Building B,2007,
Crystal Tower,2008,"42,000"
Bahrain World Trade Center 1,2004,
Bahrain World Trade Center 2,2004,
Greatwall Tower 1,,
Deutsche Bank Place,2003,"67,370"
NTT DoCoMo Yoyogi Building,,"51,118"
Comerica Bank Tower,,"142,233"
Duke Energy Center,2007,"144,825"
Mokdong Hyperion Tower B,1999,
Menam Residence,2014,
300 North LaSalle,2006,"102,192"
Tianjin Junlin Tianxia Building,2007,
Commerce Court West,,"125,883"
International Finance Center,2008,
Yowe Center,2015,
Marina Bay Financial Centre Office Tower III,2009,
Beijing Television Center,2002,"197,925"
MV Lomonosov State University,1949,
Discovery Primea,2010,"65,392"
Anhui International Trade Center Tower 1,2008,
Imperia Tower,2001,"287,724"
Xinhua International Building,2008,"65,167"
The Central Bank of Kuwait New Headquarters Building,2008,"52,472"
Azrieli Sarona Tower,2012,"125,000"
Tsingdao Center Tower A,2009,"78,000"
Tsingdao Center Tower B,2009,"93,000"
Qingdao Agora,2007,
Doha Tower,2005,
Roppongi Hills Mori Tower,2000,"380,105"
30 Hudson Street,2001,"148,644"
The Gate Residential Tower 1,2008,
The Gate Residential Tower 2,2008,
The Gate Residential Tower 3,2008,
Vista Tower,,
Hunan Daily Media Center,2013,
Xi`an Center,2013,
New World Center,2003,
CITIC Ruibo Tower 2,2013,
Jinmao International Plaza Tower 1,2014,
Tianjin Xinda Plaza,,
Z14 Plot Tower 1,2014,
Z14 Plot Tower 2,2014,
520 Park Avenue,2015,"16,537"
Bank of America Center,1981,"130,000"
Sun Tower,2006,
The Bow,2007,"199,781"
555 California Street,,"183,017"
50 West,2008,"51,040"
Excellence Century Center Tower 1,2013,
Arady Office Tower,2007,
1 Worldwide Plaza,1986,"158,510"
55 Hudson Yards,2015,"120,733"
Madison Square Park Tower,2015,"23,929"
V on Shenton Residential Tower,2014,
Wuhan International Financial Plaza,2011,
ASE Center R3,2012,"65,809"
Jinmao International Plaza Tower 2,2014,
The ESSE Asoke,2016,
The First World Tower 1,2004,
The First World Tower 2,2004,
The First World Tower 3,2004,
The First World Tower 4,2004,
Capella Tower,1989,"139,354"
Wells Fargo Center,,"102,681"
SunnyWorld Center Main Tower,2010,
Torre PwC,2004,
Future International,2004,"136,500"
One Canada Square,1989,"162,422"
Atlantis Hotel Sanya,2015,"227,750"
Louvre International Furniture Headquarters Building,2010,
The Headquarters Business Park,2009,"101,330"
Sorrento 2,2000,
1201 Third Avenue Tower,1986,"130,036"
EPH Headquarters,2009,
Huamin Emperor Hotel,2007,"260,000"
Burj Daman,2006,
Churchill Residence,2006,
Vortex Tower,2014,
Centara Grand,,
Poly Nanhu Plaza 1,2012,
Tianjin International Trade Tower 1,2011,"70,000"
Alvear Tower Puerto Madero,2012,
WKL Hotel and Tropicana The Residences,2012,
Changsha Xinhe Delta Office,,"64,115"
Frasers Tower,2015,
Torre BBVA,2010,"153,433"
8 Shenton Way,1982,"130,063"
191 Peachtree Tower,,"112,896"
Strait Pearl Plaza,2013,
Brookfield Place,2008,"87,500"
Opera City Tower,1992,"242,261"
??CE Condominiums at York Centre 2,2011,"48,521"
Etihad Towers T4,2007,"49,819"
Reflection Jomtien Beach Oceanfront Tower 1,2010,"29,887"
Park Place,2004,
CCTV Headquarters,2004,"316,000"
"Tower Palace One, Tower B",1999,
Three First National Plaza,,"156,912"
St. Regis Luxury Hotel,2008,"53,083"
Rivage,2009,"61,227"
Harbour Plaza Residences East,2013,"53,556"
Southeast Financial Center,1982,"111,483"
F&F Tower,2008,"60,753"
Harbourfront Landmark,1998,"62,462"
Shinjuku Park Tower,1990,"264,141"
Abraj Al Bait Maqam Tower,,
Abraj Al Bait Qibla Tower,,
Shuibei Jewelry Headquarters Tower A,2014,
Heritage Plaza,1984,"106,801"
Torre Waters,2007,
Suzhou Xindi Center,,
Xindi Center,2004,
China Merchants Financial Center,2004,
CASC International Center North Tower,2011,
Abraj Al Bait Marwah Tower,2004,
Abraj Al Bait Safa Tower,2004,
1818 Center,2011,
MAG 218 Tower,2006,
Menara KOMTAR,,"71,081"
Hangyang Sino Plaza 1,2014,
Hangyang Sino Plaza 3,2014,
Ligao International,2011,
THE FACE Suites,2012,
Kingtown International Center,2005,"230,621"
The Arch,2001,"100,000"
19 Dutch Street,2015,"55,290"
Tour First,2007,"103,110"
Tower Financial Center,2008,
Sankee Plaza,2011,
Kuwait Investment Authority Headquarters,2013,"140,000"
China Resources Dachong Redevelopment Tower 1,2015,
Tsinghua University Campus - Z1 Lot,2014,"149,997"
Lihe Tower,2012,
Carnegie Hall Tower,1988,
Palace of Culture and Science,1952,"123,084"
The Met,2005,"124,885"
Grant Thornton Tower,1990,"93,924"
UpperHills North Tower 1A,2011,"168,790"
UpperHills North Tower 2A,2011,
Enterprise Plaza,,"135,495"
BOCOM Financial Towers,,
383 Madison Avenue,1999,
609 Main at Texas,2014,"98,259"
World Tower,2001,
Megapolis Torre 1,2008,
Huanghe River Center Building,,
Sky Suites @ KLCC B,2015,
Casa Domaine Tower 1,2013,
Ilsan Yojin Y-City Tower 103,2013,
Ilsan Yojin Y-City Tower 105,2013,
Tanhyun Doosan We've the Zenith 105,2010,
Grand Riviera Suites,2011,
Fortune Plaza,2002,"91,000"
Menara BCA,,
Rongchao Headquarters Tower,2014,
Hilton Double Tree Sinyar Tower,2012,
New Victory Hotel Tower,,
Elite Pavilion,2013,
China Merchants Bank Tower,2014,
Salesforce Tower,2008,"66,260"
Westin Hotel,2015,
International Fortune Plaza Tower A,2011,
Sumitomo Roppongi Grand Tower,2013,
Taiyuan Sea La Cite Tower A,2016,
