Great Mosque of Algiers Tower,Algiers,DZ,265,34,2019,composite,observation / office / Museum,2012,
120 Collins Street,Melbourne,AU,264.9,52,1991,concrete,office,1986,
Hongren Fortune Center,Wuhan,CN,264.7,47,2016,composite,office,2013,
Chase Tower,Chicago,US,264.6,61,1969,steel,office,1966,"204,385"
SunTrust Plaza,Atlanta,US,264.3,60,1992,concrete,office,1989,"130,064"
Triumph Palace,Moscow,RU,264.1,61,2005,concrete,hotel / residential,2001,"322,433"
PTJ International Finance Center,Wuhan,CN,264,56,2014,composite,hotel / office,2010,
"Tower Palace Three, Tower G",Seoul,KR,263.7,73,2004,composite,residential,2001,
Star Harbor International Centre East Tower,Shanghai,CN,263,50,2018,composite,hotel / office,2015,
Star Harbor International Centre West Tower,Shanghai,CN,263,50,2018,composite,hotel / office,2015,
Financial Street Heping Center,Tianjin,CN,263,47,2016,composite,office,2013,
U-Bora Tower 1,Dubai,AE,262.8,58,2011,concrete,office,2006,"120,000"
Bitexco Financial Tower,Ho Chi Minh City,VN,262.5,68,2010,concrete,office,2006,"114,000"
Trump World Tower,New York City,US,262.4,72,2001,concrete,residential,1999,"83,403"
Ningbo Global Shipping Plaza,Ningbo,CN,262.4,52,2015,composite,office,2009,"143,236"
Vanke Chang'an Center Building 8,Dongguan,CN,262,59,2017,composite,office,2013,"114,504"
Oriental Plaza T1,Chongqing,CN,262,56,2016,concrete,hotel / office / retail,2012,
Wisma 46,Jakarta,ID,261.9,46,1996,concrete,office,,"125,869"
Xinglin Bay Business Tower,Xiamen,CN,261.9,54,2016,composite,office,2012,"159,380"
Water Tower Place,Chicago,US,261.9,74,1976,concrete,residential / hotel / retail,1972,"287,997"
66 Tower 1,Shanghai,CN,261.8,54,2005,concrete,office,1994,"67,222"
66 Tower 2,Shanghai,CN,261.8,54,2005,concrete,office,1994,
Aqua at Lakeshore East,Chicago,US,261.8,86,2009,concrete,residential / hotel,2007,"184,936"
Aon Center,Los Angeles,US,261.5,62,1974,steel,office,,"116,128"
Menara Astra,Jakarta,ID,261.5,47,2017,concrete,office,2013,"165,000"
East Pacific Center Tower B,Shenzhen,CN,261,72,2013,composite,residential,2008,
Sapphire Tower,Istanbul,TR,261,55,2010,concrete,residential,2006,"165,139"
Brookfield Place,Toronto,CA,260.9,53,1990,composite,office,1987,"127,471"
