Brisbane Skytower,Brisbane,AU,269.6,120400,90,2015,2019,concrete,residential
China International Center Tower B,Guangzhou,CN,269.5,87464,62,2003,2007,concrete,office
Dapeng International Plaza,Guangzhou,CN,269.4,131792,56,2003,2007,composite,office
One Lujiazui,Shanghai,CN,269.1,111793,47,,2008,concrete,office
Radisson Royal Hotel Dubai,Dubai,AE,269,,60,2007,2010,concrete,hotel
21st Century Tower,Dubai,AE,269,86000,55,2001,2003,steel/concrete,residential
Tongde Kunming Plaza,Kunming,CN,269,,54,2012,2015,composite,hotel / office
Mandarin Oriental Residences Bangkok,Bangkok,TH,268.7,,52,2015,2019,concrete,serviced apartments
Naberezhnaya Tower Block C,Moscow,RU,268.4,136651,61,2005,2007,composite,office
DAMAC Paramount Hotel & Residences,Dubai,AE,268.1,,69,2013,2018,concrete,residential / hotel
DAMAC Towers by Paramount Tower 1,Dubai,AE,268.1,,69,2013,2018,concrete,residential
DAMAC Towers By Paramount Tower 2,Dubai,AE,268.1,,69,2013,2018,concrete,residential
DAMAC Towers by Paramount Tower 3,Dubai,AE,268.1,,69,2013,2018,concrete,residential
Victoria Square 1,Dalian,CN,268,,68,2012,2018,composite,office
Victoria Square 2,Dalian,CN,268,,68,2012,2018,composite,office
Nation Towers Residential Lofts,Abu Dhabi,AE,268,74545,64,2008,2012,concrete,residential
Suzhou Center,Suzhou,CN,268,,52,2010,2013,concrete,hotel / office
Jiangxi Nanchang Greenland Zifeng Tower,Nanchang,CN,268,209058,56,2012,2015,composite,hotel / office
Bank of Guangzhou Tower,Guangzhou,CN,267.8,122584,57,2008,2012,concrete,office
10 Hudson Yards,New York City,US,267.7,166827,52,2013,2016,composite,office / retail
Bicsa Financial Center,Panama City,PA,267,211920,66,2008,2013,concrete,hotel / office
Fortune Financial Center,Beijing,CN,267,151585,60,2009,2014,composite,office
Petronas Tower 3,Kuala Lumpur,MY,267,141300,60,2008,2012,concrete,office
Al Faisaliah Center,Riyadh,SA,266.9,,30,1997,2000,steel/concrete,office / hotel
The Point,Panama City,PA,266,,67,,2011,concrete,residential
Suning Plaza Tower A,Xuzhou,CN,266,,62,2013,2017,composite,hotel / serviced apartments / office
Bank of America Corporate Center,Charlotte,US,265.5,130063,60,1989,1992,concrete,office
Eight Spruce Street,New York City,US,265.2,92903,76,2006,2011,concrete,residential
Changzhou Modern Media Center,Changzhou,CN,265.1,89767,58,2010,2013,composite,residential / hotel / office
Doosan Haeundae We've the Zenith Tower C,Busan,KR,265,,70,2007,2011,concrete,residential
900 North Michigan Avenue,Chicago,US,265,,66,,1989,concrete/steel,residential / residential / office / hotel
Business Central Tower 1,Dubai,AE,265,102021,53,2005,2008,concrete,office
Business Central Tower 2,Dubai,AE,265,102021,53,2005,2008,concrete,office
WBC The Palace 1,Busan,KR,265,,51,2008,2011,concrete,residential
WBC The Palace 2,Busan,KR,265,,51,2008,2011,concrete,residential
Great Mosque of Algiers Tower,Algiers,DZ,265,,34,2012,2019,composite,observation / office / Museum
120 Collins Street,Melbourne,AU,264.9,,52,1986,1991,concrete,office
Hongren Fortune Center,Wuhan,CN,264.7,,47,2013,2016,composite,office
Chase Tower,Chicago,US,264.6,204385,61,1966,1969,steel,office
SunTrust Plaza,Atlanta,US,264.3,130064,60,1989,1992,concrete,office
Triumph Palace,Moscow,RU,264.1,322433,61,2001,2005,concrete,hotel / residential
PTJ International Finance Center,Wuhan,CN,264,,56,2010,2014,composite,hotel / office
Tower Palace Three Tower G,Seoul,KR,263.7,,73,2001,2004,composite,residential
Star Harbor International Centre East Tower,Shanghai,CN,263,,50,2015,2018,composite,hotel / office
Star Harbor International Centre West Tower,Shanghai,CN,263,,50,2015,2018,composite,hotel / office
Financial Street Heping Center,Tianjin,CN,263,,47,2013,2016,composite,office
UBora Tower 1,Dubai,AE,262.8,120000,58,2006,2011,concrete,office
Bitexco Financial Tower,Ho Chi Minh City,VN,262.5,114000,68,2006,2010,concrete,office
Trump World Tower,New York City,US,262.4,83403,72,1999,2001,concrete,residential
Ningbo Global Shipping Plaza,Ningbo,CN,262.4,143236,52,2009,2015,composite,office
Vanke Chang'an Center Building 8,Dongguan,CN,262,114504,59,2013,2017,composite,office
Oriental Plaza T1,Chongqing,CN,262,,56,2012,2016,concrete,hotel / office / retail
Wisma 46,Jakarta,ID,261.9,125869,46,,1996,concrete,office
Xinglin Bay Business Tower,Xiamen,CN,261.9,159380,54,2012,2016,composite,office
Water Tower Place,Chicago,US,261.9,287997,74,1972,1976,concrete,residential / hotel / retail
66 Tower 1,Shanghai,CN,261.8,67222,54,1994,2005,concrete,office
66 Tower 2,Shanghai,CN,261.8,,54,1994,2005,concrete,office
Aqua at Lakeshore East,Chicago,US,261.8,184936,86,2007,2009,concrete,residential / hotel
Aon Center,Los Angeles,US,261.5,116128,62,,1974,steel,office
Menara Astra,Jakarta,ID,261.5,165000,47,2013,2017,concrete,office
East Pacific Center Tower B,Shenzhen,CN,261,,72,2008,2013,composite,residential
Sapphire Tower,Istanbul,TR,261,165139,55,2006,2010,concrete,residential
Brookfield Place,Toronto,CA,260.9,127471,53,1987,1990,composite,office
Etihad Towers T3,Abu Dhabi,AE,260.3,74198,60,2007,2011,concrete,office
Guangdong Telecom Plaza,Guangzhou,CN,260,145000,68,1997,2002,concrete,office
BD Bacata Torre 1,Bogota,CO,260,,67,2011,2018,concrete,hotel / residential
Vision Tower,Dubai,AE,260,,60,2006,2011,concrete,office
SunnyWorld Center,Shenyang,CN,260,,59,2007,2014,concrete,hotel / office
Jing An Kerry Centre Tower 2,Shanghai,CN,260,111082,58,2009,2013,composite,hotel / office
Samsung China Headquarters,Beijing,CN,260,168936,57,2014,2018,composite,office
Yuyang Tower,Fuzhou,CN,260,,56,2011,2014,composite,office
Beijing Greenland Center,Beijing,CN,260,172800,55,2012,2016,composite,residential / office
Dual Towers 1,Manama,BH,260,,53,2003,2007,concrete,office
Dual Towers 2,Manama,BH,260,,53,2003,2007,concrete,office
101 Collins Street,Melbourne,AU,260,82800,50,,1991,composite,office
Transamerica Pyramid Center,San Francisco,US,260,65225,48,1969,1972,composite,office
Shenzhen Special Zone Daily Tower,Shenzhen,CN,260,,42,,1998,concrete,office
Shanghai IFC North Tower,Shanghai,CN,259.9,,56,2004,2010,composite,office
1 William Street,Brisbane,AU,259.8,126800,46,2013,2016,concrete,office
